candidate,target,null,d_inv,d_portrait
TOL_11,BRAIN_10,ER,0.32970127899642165,0.4052116754122028
TOL_11,BRAIN_10,ER,0.4601098764505816,0.3370269565052035
TOL_11,BRAIN_10,ER,0.5654213923300748,0.30413657029472085
TOL_11,BRAIN_10,ER,0.5489268452882476,0.30028985468631714
TOL_11,BRAIN_10,ER,0.45212028272718946,0.40079534582848797
TOL_11,BRAIN_10,ER,0.36526556595241244,0.2624643412138684
TOL_11,BRAIN_10,ER,0.35462363564253807,0.25707882935004245
TOL_11,BRAIN_10,ER,0.4356759529199966,0.33302396287761393
TOL_11,BRAIN_10,ER,0.38342633448500524,0.3793247460442713
TOL_11,BRAIN_10,ER,0.37900031761664105,0.2743445152745956
TOL_11,BRAIN_10,ER,0.4479161958926751,0.4393590236880508
TOL_11,BRAIN_10,ER,0.4070360071258883,0.30175269311547925
TOL_11,BRAIN_10,ER,0.4560338950284402,0.32780490618297486
TOL_11,BRAIN_10,ER,0.587705272897326,0.3074367488673476
TOL_11,BRAIN_10,ER,0.3825358495431918,0.4803360603961344
TOL_11,BRAIN_10,ER,0.3544000158642393,0.31985029647961616
TOL_11,BRAIN_10,ER,0.3042474733243383,0.2695113965132007
TOL_11,BRAIN_10,ER,0.43116994789812835,0.3080956251035314
TOL_11,BRAIN_10,ER,0.500920904916242,0.3469757835121548
TOL_11,BRAIN_10,ER,0.5220255690164041,0.3232251170965446
TOL_11,BRAIN_10,ER,0.3662872047494636,0.3197922537213246
TOL_11,BRAIN_10,ER,0.5109719210827762,0.2733981488416187
TOL_11,BRAIN_10,ER,0.375865394372212,0.31658859369857495
TOL_11,BRAIN_10,ER,0.3657273984266416,0.3009688066719199
TOL_11,BRAIN_10,ER,0.30886533970919733,0.34044707594784585
TOL_11,BRAIN_10,ER,0.39006603443703347,0.31886347932036646
TOL_11,BRAIN_10,ER,0.43248750202554176,0.2874704878415463
TOL_11,BRAIN_10,ER,0.48787657321725425,0.39033675762215075
TOL_11,BRAIN_10,ER,0.41557135296577613,0.3955892285602037
TOL_11,BRAIN_10,ER,0.3870323626514634,0.27680374735303837
TOL_11,BRAIN_10,ER,0.4222269190029221,0.27776762399432015
TOL_11,BRAIN_10,ER,0.44064299478640273,0.3120389141555664
TOL_11,BRAIN_10,ER,0.4133088089423934,0.276256147072768
TOL_11,BRAIN_10,ER,0.44993054338153804,0.2692095883018371
TOL_11,BRAIN_10,ER,0.3656506327759686,0.284635312043917
TOL_11,BRAIN_10,ER,0.37533983358239587,0.4137335947116998
TOL_11,BRAIN_10,ER,0.4493304954621053,0.3952353159045826
TOL_11,BRAIN_10,ER,0.48415935202094845,0.3936871900706581
TOL_11,BRAIN_10,ER,0.34434482961993407,0.408730657364718
TOL_11,BRAIN_10,ER,0.420632414779361,0.31941917302440825
TOL_11,BRAIN_10,ER,0.4119580195183184,0.2657602912943402
TOL_11,BRAIN_10,ER,0.36045013971973633,0.23033718372670614
TOL_11,BRAIN_10,ER,0.38375568013723976,0.2996279691266321
TOL_11,BRAIN_10,ER,0.33117964291178353,0.41023485386326763
TOL_11,BRAIN_10,CFG,0.2864615824348308,0.2828903224301187
TOL_11,BRAIN_10,CFG,0.35008994292255513,0.2643048971884138
TOL_11,BRAIN_10,CFG,0.38932563747675053,0.37466986439925043
TOL_11,BRAIN_10,CFG,0.22135716694997015,0.16978653727063556
TOL_11,BRAIN_10,CFG,0.2808163488686392,0.31273014653871756
TOL_11,BRAIN_10,CFG,0.40526603562904795,0.46677132088466833
TOL_11,BRAIN_10,CFG,0.43530249867624854,0.3375684673453051
TOL_11,BRAIN_10,CFG,0.34673236989503664,0.3542036184084227
TOL_11,BRAIN_10,CFG,0.37271310461968893,0.40146543493612696
TOL_11,BRAIN_10,CFG,0.3570441341395969,0.46292185905276073
